Year,Geography,Tenure,Age_Group,Household_Count,Avg_Household_Size,Median_Household_Size
2021,Nova Scotia    ,Renter,Total - Age group of primary household maintainer,139410.0,1.91,2.0
2021,Nova Scotia    ,Renter,15 to 24 years,12285.0,2.02,2.0
2021,Nova Scotia    ,Renter,25 to 34 years,32100.0,2.14,2.0
2021,Nova Scotia    ,Renter,35 to 44 years,21615.0,2.47,2.02
2021,Nova Scotia    ,Renter,45 to 54 years,17825.0,2.14,2.0
2021,Nova Scotia    ,Renter,55 to 64 years,20485.0,1.59,1.01
2021,Nova Scotia    ,Renter,65 to 74 years,18655.0,1.44,1.01
2021,Nova Scotia    ,Renter,75 years and over,16450.0,1.34,1.01
2021,New Brunswick    ,Total - Tenure,Total - Age group of primary household maintainer,337650.0,2.25,2.0
2021,New Brunswick    ,Total - Tenure,15 to 24 years,10740.0,1.97,2.0
2021,New Brunswick    ,Total - Tenure,25 to 34 years,40195.0,2.46,2.02
2021,New Brunswick    ,Total - Tenure,35 to 44 years,50205.0,3.06,3.0
2021,New Brunswick    ,Total - Tenure,45 to 54 years,56585.0,2.69,2.02
2021,New Brunswick    ,Total - Tenure,55 to 64 years,71225.0,2.04,2.0
2021,New Brunswick    ,Total - Tenure,65 to 74 years,64275.0,1.8,2.0
2021,New Brunswick    ,Total - Tenure,75 years and over,44430.0,1.63,2.0
2021,New Brunswick    ,Owner,Total - Age group of primary household maintainer,246455.0,2.38,2.0
2021,New Brunswick    ,Owner,15 to 24 years,2530.0,2.03,2.0
2021,New Brunswick    ,Owner,25 to 34 years,22430.0,2.67,2.02
2021,New Brunswick    ,Owner,35 to 44 years,36690.0,3.22,3.02
2021,New Brunswick    ,Owner,45 to 54 years,45150.0,2.84,3.0
2021,New Brunswick    ,Owner,55 to 64 years,57280.0,2.16,2.0
2021,New Brunswick    ,Owner,65 to 74 years,50680.0,1.9,2.0
2021,New Brunswick    ,Owner,75 years and over,31705.0,1.75,2.0
2021,New Brunswick    ,Renter,Total - Age group of primary household maintainer,88455.0,1.86,2.0
2021,New Brunswick    ,Renter,15 to 24 years,8060.0,1.94,2.0
2021,New Brunswick    ,Renter,25 to 34 years,17320.0,2.17,2.0
2021,New Brunswick    ,Renter,35 to 44 years,13020.0,2.58,2.02
2021,New Brunswick    ,Renter,45 to 54 years,10835.0,2.04,2.0
2021,New Brunswick    ,Renter,55 to 64 years,13375.0,1.52,1.01
2021,New Brunswick    ,Renter,65 to 74 years,13265.0,1.4,1.01
2021,New Brunswick    ,Renter,75 years and over,12580.0,1.35,1.01
2021,Quebec    ,Total - Tenure,Total - Age group of primary household maintainer,3749035.0,2.22,2.0
2021,Quebec    ,Total - Tenure,15 to 24 years,117525.0,1.79,2.0
2021,Quebec    ,Total - Tenure,25 to 34 years,525540.0,2.26,2.0
2021,Quebec    ,Total - Tenure,35 to 44 years,647170.0,2.97,3.0
2021,Quebec    ,Total - Tenure,45 to 54 years,628630.0,2.73,3.0
2021,Quebec    ,Total - Tenure,55 to 64 years,760395.0,2.0,2.0
2021,Quebec    ,Total - Tenure,65 to 74 years,629965.0,1.7,2.0
2021,Quebec    ,Total - Tenure,75 years and over,439810.0,1.56,1.01
2021,Quebec    ,Owner,Total - Age group of primary household maintainer,2245600.0,2.47,2.02
2021,Quebec    ,Owner,15 to 24 years,18320.0,1.91,2.0
2021,Quebec    ,Owner,25 to 34 years,222785.0,2.7,2.02
2021,Quebec    ,Owner,35 to 44 years,390955.0,3.35,4.0
2021,Quebec    ,Owner,45 to 54 years,418900.0,3.0,3.0
2021,Quebec    ,Owner,55 to 64 years,520980.0,2.18,2.0
2021,Quebec    ,Owner,65 to 74 years,415085.0,1.85,2.0
2021,Quebec    ,Owner,75 years and over,258570.0,1.7,2.0
2021,Quebec    ,Renter,Total - Age group of primary household maintainer,1497010.0,1.83,1.01
2021,Quebec    ,Renter,15 to 24 years,99030.0,1.77,2.0
2021,Quebec    ,Renter,25 to 34 years,301680.0,1.93,2.0
2021,Quebec    ,Renter,35 to 44 years,254840.0,2.39,2.0
2021,Quebec    ,Renter,45 to 54 years,208265.0,2.17,2.0
2021,Quebec    ,Renter,55 to 64 years,238170.0,1.59,1.01
2021,Quebec    ,Renter,65 to 74 years,214120.0,1.4,1.01
2021,Quebec    ,Renter,75 years and over,180910.0,1.35,1.01
2021,Ontario    ,Total - Tenure,Total - Age group of primary household maintainer,5491200.0,2.56,2.02
2021,Ontario    ,Total - Tenure,15 to 24 years,126385.0,2.09,2.0
2021,Ontario    ,Total - Tenure,25 to 34 years,727305.0,2.4,2.0
2021,Ontario    ,Total - Tenure,35 to 44 years,930410.0,3.24,3.02
2021,Ontario    ,Total - Tenure,45 to 54 years,1013210.0,3.19,3.02
2021,Ontario    ,Total - Tenure,55 to 64 years,1149345.0,2.49,2.02
2021,Ontario    ,Total - Tenure,65 to 74 years,876960.0,2.01,2.0
2021,Ontario    ,Total - Tenure,75 years and over,667585.0,1.72,2.0
2021,Ontario    ,Owner,Total - Age group of primary household maintainer,3755720.0,2.73,2.02
2021,Ontario    ,Owner,15 to 24 years,25245.0,1.98,2.0
2021,Ontario    ,Owner,25 to 34 years,335060.0,2.62,2.02
2021,Ontario    ,Owner,35 to 44 years,603365.0,3.51,4.0
2021,Ontario    ,Owner,45 to 54 years,740700.0,3.41,4.0
2021,Ontario    ,Owner,55 to 64 years,877575.0,2.65,2.02
2021,Ontario    ,Owner,65 to 74 years,675525.0,2.13,2.0
2021,Ontario    ,Owner,75 years and over,498250.0,1.83,2.0
2021,Ontario    ,Renter,Total - Age group of primary household maintainer,1724970.0,2.18,2.0
2021,Ontario    ,Renter,15 to 24 years,100655.0,2.1,2.0
2021,Ontario    ,Renter,25 to 34 years,390490.0,2.2,2.0
2021,Ontario    ,Renter,35 to 44 years,324900.0,2.75,3.0
2021,Ontario    ,Renter,45 to 54 years,270375.0,2.58,2.02
2021,Ontario    ,Renter,55 to 64 years,269565.0,1.98,2.0
2021,Ontario    ,Renter,65 to 74 years,200235.0,1.61,1.01
2021,Ontario    ,Renter,75 years and over,168745.0,1.41,1.01
2021,Manitoba    ,Total - Tenure,Total - Age group of primary household maintainer,518050.0,2.52,2.02
2021,Manitoba    ,Total - Tenure,15 to 24 years,19180.0,2.27,2.0
2021,Manitoba    ,Total - Tenure,25 to 34 years,77050.0,2.6,2.02
2021,Manitoba    ,Total - Tenure,35 to 44 years,92150.0,3.38,3.02
2021,Manitoba    ,Total - Tenure,45 to 54 years,88630.0,3.1,3.0
2021,Manitoba    ,Total - Tenure,55 to 64 years,100500.0,2.3,2.0
2021,Manitoba    ,Total - Tenure,65 to 74 years,80840.0,1.87,2.0
2021,Manitoba    ,Total - Tenure,75 years and over,59710.0,1.59,1.01
2021,Manitoba    ,Owner,Total - Age group of primary household maintainer,349320.0,2.65,2.02
2021,Manitoba    ,Owner,15 to 24 years,4015.0,2.19,2.0
2021,Manitoba    ,Owner,25 to 34 years,38575.0,2.79,2.02
2021,Manitoba    ,Owner,35 to 44 years,62125.0,3.57,4.0
2021,Manitoba    ,Owner,45 to 54 years,65435.0,3.27,3.02
2021,Manitoba    ,Owner,55 to 64 years,77355.0,2.39,2.0
2021,Manitoba    ,Owner,65 to 74 years,62190.0,1.95,2.0
2021,Manitoba    ,Owner,75 years and over,39620.0,1.71,2.0
2021,Manitoba    ,Renter,Total - Age group of primary household maintainer,156495.0,2.11,2.0
2021,Manitoba    ,Renter,15 to 24 years,14430.0,2.19,2.0
2021,Manitoba    ,Renter,25 to 34 years,36490.0,2.31,2.0
2021,Manitoba    ,Renter,35 to 44 years,27720.0,2.82,3.0
2021,Manitoba    ,Renter,45 to 54 years,20470.0,2.43,2.0
2021,Manitoba    ,Renter,55 to 64 years,20545.0,1.75,1.01
2021,Manitoba    ,Renter,65 to 74 years,17335.0,1.47,1.01
2021,Manitoba    ,Renter,75 years and over,19505.0,1.31,1.01
2021,Saskatchewan    ,Total - Tenure,Total - Age group of primary household maintainer,449580.0,2.45,2.0
2021,Saskatchewan    ,Total - Tenure,15 to 24 years,17560.0,2.09,2.0
2021,Saskatchewan    ,Total - Tenure,25 to 34 years,68755.0,2.63,2.02
2021,Saskatchewan    ,Total - Tenure,35 to 44 years,82630.0,3.37,4.0
2021,Saskatchewan    ,Total - Tenure,45 to 54 years,72295.0,2.98,3.0
2021,Saskatchewan    ,Total - Tenure,55 to 64 years,85955.0,2.13,2.0
2021,Saskatchewan    ,Total - Tenure,65 to 74 years,69235.0,1.81,2.0
2021,Saskatchewan    ,Total - Tenure,75 years and over,53150.0,1.55,1.01
2021,Saskatchewan    ,Owner,Total - Age group of primary household maintainer,317655.0,2.51,2.02
2021,Saskatchewan    ,Owner,15 to 24 years,4015.0,2.0,2.0
2021,Saskatchewan    ,Owner,25 to 34 years,37165.0,2.75,2.02
2021,Saskatchewan    ,Owner,35 to 44 years,57830.0,3.5,4.0
2021,Saskatchewan    ,Owner,45 to 54 years,53660.0,3.08,3.0
2021,Saskatchewan    ,Owner,55 to 64 years,68830.0,2.16,2.0
2021,Saskatchewan    ,Owner,65 to 74 years,57200.0,1.85,2.0
2021,Saskatchewan    ,Owner,75 years and over,38955.0,1.63,2.0
2021,Saskatchewan    ,Renter,Total - Age group of primary household maintainer,118595.0,2.17,2.0
2021,Saskatchewan    ,Renter,15 to 24 years,12780.0,1.99,2.0
2021,Saskatchewan    ,Renter,25 to 34 years,29305.0,2.36,2.0
2021,Saskatchewan    ,Renter,35 to 44 years,22235.0,2.92,3.0
2021,Saskatchewan    ,Renter,45 to 54 years,15750.0,2.48,2.0
2021,Saskatchewan    ,Renter,55 to 64 years,14475.0,1.78,1.01
2021,Saskatchewan    ,Renter,65 to 74 years,10535.0,1.47,1.01
2021,Saskatchewan    ,Renter,75 years and over,13510.0,1.26,1.01
2021,Alberta    ,Total - Tenure,Total - Age group of primary household maintainer,1633220.0,2.56,2.02
2021,Alberta    ,Total - Tenure,15 to 24 years,51475.0,1.98,2.0
2021,Alberta    ,Total - Tenure,25 to 34 years,260820.0,2.46,2.02
2021,Alberta    ,Total - Tenure,35 to 44 years,341395.0,3.29,3.02
2021,Alberta    ,Total - Tenure,45 to 54 years,304080.0,3.08,3.0
2021,Alberta    ,Total - Tenure,55 to 64 years,311335.0,2.29,2.0
2021,Alberta    ,Total - Tenure,65 to 74 years,222825.0,1.9,2.0
2021,Alberta    ,Total - Tenure,75 years and over,141280.0,1.68,2.0
2021,Alberta    ,Owner,Total - Age group of primary household maintainer,1157490.0,2.69,2.02
2021,Alberta    ,Owner,15 to 24 years,10155.0,2.04,2.0
2021,Alberta    ,Owner,25 to 34 years,133610.0,2.7,2.02
2021,Alberta    ,Owner,35 to 44 years,237265.0,3.49,4.0
2021,Alberta    ,Owner,45 to 54 years,230525.0,3.24,3.02
2021,Alberta    ,Owner,55 to 64 years,248415.0,2.38,2.0
2021,Alberta    ,Owner,65 to 74 years,183055.0,1.97,2.0
2021,Alberta    ,Owner,75 years and over,114470.0,1.74,2.0
2021,Alberta    ,Renter,Total - Age group of primary household maintainer,465220.0,2.22,2.0
2021,Alberta    ,Renter,15 to 24 years,40820.0,1.94,2.0
2021,Alberta    ,Renter,25 to 34 years,125610.0,2.19,2.0
2021,Alberta    ,Renter,35 to 44 years,101985.0,2.81,3.0
2021,Alberta    ,Renter,45 to 54 years,71350.0,2.53,2.02
2021,Alberta    ,Renter,55 to 64 years,60700.0,1.86,1.01
2021,Alberta    ,Renter,65 to 74 years,38530.0,1.56,1.01
2021,Alberta    ,Renter,75 years and over,26220.0,1.39,1.01
2021,British Columbia    ,Total - Tenure,Total - Age group of primary household maintainer,2041835.0,2.41,2.0
2021,British Columbia    ,Total - Tenure,15 to 24 years,57980.0,1.99,2.0
2021,British Columbia    ,Total - Tenure,25 to 34 years,282195.0,2.26,2.0
2021,British Columbia    ,Total - Tenure,35 to 44 years,343380.0,3.06,3.0
2021,British Columbia    ,Total - Tenure,45 to 54 years,354340.0,2.99,3.0
2021,British Columbia    ,Total - Tenure,55 to 64 years,407735.0,2.33,2.0
2021,British Columbia    ,Total - Tenure,65 to 74 years,347335.0,1.95,2.0
2021,British Columbia    ,Total - Tenure,75 years and over,248870.0,1.71,2.0
2021,British Columbia    ,Owner,Total - Age group of primary household maintainer,1363190.0,2.56,2.02
2021,British Columbia    ,Owner,15 to 24 years,10805.0,1.9,2.0
2021,British Columbia    ,Owner,25 to 34 years,113415.0,2.53,2.02
2021,British Columbia    ,Owner,35 to 44 years,206135.0,3.39,4.0
2021,British Columbia    ,Owner,45 to 54 years,247955.0,3.22,3.02
2021,British Columbia    ,Owner,55 to 64 years,309320.0,2.46,2.02
2021,British Columbia    ,Owner,65 to 74 years,275895.0,2.04,2.0
2021,British Columbia    ,Owner,75 years and over,199655.0,1.79,2.0
2021,British Columbia    ,Renter,Total - Age group of primary household maintainer,669450.0,2.09,2.0
2021,British Columbia    ,Renter,15 to 24 years,46920.0,2.0,2.0
2021,British Columbia    ,Renter,25 to 34 years,167595.0,2.07,2.0
2021,British Columbia    ,Renter,35 to 44 years,135850.0,2.56,2.02
2021,British Columbia    ,Renter,45 to 54 years,104630.0,2.44,2.0
2021,British Columbia    ,Renter,55 to 64 years,96155.0,1.89,2.0
2021,British Columbia    ,Renter,65 to 74 years,69865.0,1.56,1.01
2021,British Columbia    ,Renter,75 years and over,48440.0,1.39,1.01
2021,Yukon    ,Total - Tenure,Total - Age group of primary household maintainer,17180.0,2.3,2.0
2021,Yukon    ,Total - Tenure,15 to 24 years,425.0,2.14,2.0
2021,Yukon    ,Total - Tenure,25 to 34 years,2800.0,2.38,2.02
2021,Yukon    ,Total - Tenure,35 to 44 years,3350.0,2.9,3.0
2021,Yukon    ,Total - Tenure,45 to 54 years,3055.0,2.73,2.02
2021,Yukon    ,Total - Tenure,55 to 64 years,3645.0,2.04,2.0
2021,Yukon    ,Total - Tenure,65 to 74 years,2725.0,1.7,2.0
2021,Yukon    ,Total - Tenure,75 years and over,1190.0,1.64,1.01
2021,Yukon    ,Owner,Total - Age group of primary household maintainer,11065.0,2.46,2.02
2021,Yukon    ,Owner,15 to 24 years,80.0,1.72,1.01
2021,Yukon    ,Owner,25 to 34 years,1335.0,2.49,2.02
2021,Yukon    ,Owner,35 to 44 years,2050.0,3.18,3.02
2021,Yukon    ,Owner,45 to 54 years,2165.0,2.98,3.0
2021,Yukon    ,Owner,55 to 64 years,2625.0,2.17,2.0
2021,Yukon    ,Owner,65 to 74 years,1995.0,1.8,2.0
2021,Yukon    ,Owner,75 years and over,820.0,1.79,2.0
2021,Yukon    ,Renter,Total - Age group of primary household maintainer,5535.0,2.04,2.0
2021,Yukon    ,Renter,15 to 24 years,325.0,2.25,2.0
2021,Yukon    ,Renter,25 to 34 years,1380.0,2.25,2.0
2021,Yukon    ,Renter,35 to 44 years,1195.0,2.48,2.02
2021,Yukon    ,Renter,45 to 54 years,780.0,2.13,2.0
2021,Yukon    ,Renter,55 to 64 years,895.0,1.7,1.01
2021,Yukon    ,Renter,65 to 74 years,630.0,1.37,1.01
2021,Yukon    ,Renter,75 years and over,325.0,1.27,1.01
2021,Northwest Territories    ,Total - Tenure,Total - Age group of primary household maintainer,15210.0,2.66,2.02
2021,Northwest Territories    ,Total - Tenure,15 to 24 years,480.0,2.41,2.0
2021,Northwest Territories    ,Total - Tenure,25 to 34 years,2745.0,2.64,2.02
2021,Northwest Territories    ,Total - Tenure,35 to 44 years,3120.0,3.18,3.02
2021,Northwest Territories    ,Total - Tenure,45 to 54 years,3030.0,2.97,3.0
2021,Northwest Territories    ,Total - Tenure,55 to 64 years,3235.0,2.39,2.0
2021,Northwest Territories    ,Total - Tenure,65 to 74 years,1795.0,2.14,2.0
2021,Northwest Territories    ,Total - Tenure,75 years and over,795.0,1.88,2.0
2021,Northwest Territories    ,Owner,Total - Age group of primary household maintainer,8140.0,2.85,3.0
2021,Northwest Territories    ,Owner,15 to 24 years,85.0,2.7,3.0
2021,Northwest Territories    ,Owner,25 to 34 years,895.0,2.78,2.02
2021,Northwest Territories    ,Owner,35 to 44 years,1670.0,3.43,4.0
2021,Northwest Territories    ,Owner,45 to 54 years,1785.0,3.23,3.02
2021,Northwest Territories    ,Owner,55 to 64 years,2045.0,2.56,2.02
2021,Northwest Territories    ,Owner,65 to 74 years,1200.0,2.3,2.0
2021,Northwest Territories    ,Owner,75 years and over,455.0,2.15,2.0
2021,Northwest Territories    ,Renter,Total - Age group of primary household maintainer,7020.0,2.43,2.0
2021,Northwest Territories    ,Renter,15 to 24 years,390.0,2.33,2.0
2021,Northwest Territories    ,Renter,25 to 34 years,1845.0,2.56,2.02
2021,Northwest Territories    ,Renter,35 to 44 years,1445.0,2.88,3.0
2021,Northwest Territories    ,Renter,45 to 54 years,1240.0,2.6,2.02
2021,Northwest Territories    ,Renter,55 to 64 years,1180.0,2.09,2.0
2021,Northwest Territories    ,Renter,65 to 74 years,585.0,1.81,1.01
2021,Northwest Territories    ,Renter,75 years and over,330.0,1.49,1.01
2021,Nunavut    ,Total - Tenure,Total - Age group of primary household maintainer,9925.0,3.69,3.02
2021,Nunavut    ,Total - Tenure,15 to 24 years,305.0,3.42,3.0
2021,Nunavut    ,Total - Tenure,25 to 34 years,2155.0,3.67,4.0
2021,Nunavut    ,Total - Tenure,35 to 44 years,2380.0,4.05,4.0
2021,Nunavut    ,Total - Tenure,45 to 54 years,2370.0,3.81,3.02
2021,Nunavut    ,Total - Tenure,55 to 64 years,1730.0,3.31,3.0
2021,Nunavut    ,Total - Tenure,65 to 74 years,725.0,3.28,3.0
2021,Nunavut    ,Total - Tenure,75 years and over,265.0,3.4,2.02
2021,Nunavut    ,Owner,Total - Age group of primary household maintainer,1905.0,3.44,3.02
2021,Nunavut    ,Owner,15 to 24 years,40.0,3.6,3.52
2021,Nunavut    ,Owner,25 to 34 years,260.0,3.4,3.02
2021,Nunavut    ,Owner,35 to 44 years,390.0,3.85,4.0
2021,Nunavut    ,Owner,45 to 54 years,465.0,3.73,3.02
2021,Nunavut    ,Owner,55 to 64 years,430.0,3.16,3.0
2021,Nunavut    ,Owner,65 to 74 years,245.0,2.85,2.02
2021,Nunavut    ,Owner,75 years and over,70.0,2.88,3.0
2021,Nunavut    ,Renter,Total - Age group of primary household maintainer,8020.0,3.75,3.02
2021,Nunavut    ,Renter,15 to 24 years,260.0,3.4,3.0
2021,Nunavut    ,Renter,25 to 34 years,1895.0,3.71,4.0
2021,Nunavut    ,Renter,35 to 44 years,1990.0,4.09,4.0
2021,Nunavut    ,Renter,45 to 54 years,1895.0,3.82,3.02
2021,Nunavut    ,Renter,55 to 64 years,1305.0,3.35,2.02
2021,Nunavut    ,Renter,65 to 74 years,480.0,3.5,3.0
2021,Nunavut    ,Renter,75 years and over,195.0,3.6,2.02
2021,St. John's    ,Total - Tenure,Total - Age group of primary household maintainer,89995.0,2.32,2.0
2021,St. John's    ,Total - Tenure,15 to 24 years,3265.0,1.96,2.0
2021,St. John's    ,Total - Tenure,25 to 34 years,13155.0,2.24,2.0
2021,St. John's    ,Total - Tenure,35 to 44 years,16150.0,2.89,3.0
2021,St. John's    ,Total - Tenure,45 to 54 years,16560.0,2.82,3.0
2021,St. John's    ,Total - Tenure,55 to 64 years,17705.0,2.15,2.0
2021,St. John's    ,Total - Tenure,65 to 74 years,13955.0,1.88,2.0
2021,St. John's    ,Total - Tenure,75 years and over,9200.0,1.64,2.0
2021,St. John's    ,Owner,Total - Age group of primary household maintainer,62470.0,2.49,2.02
2021,St. John's    ,Owner,15 to 24 years,440.0,1.8,2.0
2021,St. John's    ,Owner,25 to 34 years,6580.0,2.4,2.02
2021,St. John's    ,Owner,35 to 44 years,11185.0,3.09,3.02
2021,St. John's    ,Owner,45 to 54 years,12685.0,3.04,3.0
2021,St. John's    ,Owner,55 to 64 years,13785.0,2.32,2.02
2021,St. John's    ,Owner,65 to 74 years,11010.0,2.0,2.0
2021,St. John's    ,Owner,75 years and over,6775.0,1.76,2.0
2021,St. John's    ,Renter,Total - Age group of primary household maintainer,27530.0,1.93,2.0
2021,St. John's    ,Renter,15 to 24 years,2825.0,1.99,2.0
2021,St. John's    ,Renter,25 to 34 years,6570.0,2.08,2.0
2021,St. John's    ,Renter,35 to 44 years,4965.0,2.44,2.02
2021,St. John's    ,Renter,45 to 54 years,3880.0,2.12,2.0
2021,St. John's    ,Renter,55 to 64 years,3925.0,1.55,1.01
2021,St. John's    ,Renter,65 to 74 years,2945.0,1.46,1.01
2021,St. John's    ,Renter,75 years and over,2420.0,1.31,1.01
